ID,Answer
0,super
1,super
2,super
3,super
4,super
5,super
6,super
7,super
8,super
9,super
10,super
11,super
12,super
13,super
14,super
15,super
16,super
17,super
18,super
19,super
20,super
21,super
22,the
23,the
24,the
25,the
26,the
27,the
28,the
29,the
30,the
31,the
32,the
33,the
34,the
35,the
36,the
37,the
38,the
39,the
40,the
41,the
42,the
43,the
44,the
45,the
46,the
47,the
48,the
49,the
50,the
51,the
52,the
53,the
54,the
55,the
56,the
57,the
58,the
59,c
60,c
61,c
62,c
63,in
64,in
65,the
66,levisstadium.
67,the
68,the
69,the
70,the
71,levisstadium.
72,the
73,the
74,the
75,the
76,the
77,the
78,the
79,the
80,onmaytwentyfirsttwentythirteennflownersthattheirspringmeetingsinbostonvotedandawardedthegametolevisstadium.
81,on
82,levisstadium.
83,on
84,levisstadium.
85,for
86,for
87,for
88,for
89,for
90,for
91,for
92,for
93,for
94,for
95,for
96,for
97,for
98,despite
99,despite
100,despite
101,despite
102,despite
103,despite
104,despite
105,despite
106,despite
107,despite
108,despite
109,despite
110,the
111,the
112,the
113,the
114,the
115,the
116,the
117,the
118,the
119,the
120,the
121,the
122,the
123,following
124,following
125,following
126,following
127,following
128,following
129,following
130,following
131,following
132,following
133,following
134,following
135,following
136,following
137,following
138,manning
139,manning
140,manning
141,manning
142,manning
143,manning
144,manning
145,manning
146,manning
147,the
148,the
149,the
150,the
151,the
152,the
153,the
154,the
155,the
156,the
157,the
158,the
159,the
160,the
161,the
162,the
163,the
164,the
165,the
166,the
167,the
168,the
169,the
170,the
171,the
172,the
173,the
174,carolina
175,carolina
176,carolina
177,carolina
178,carolina
179,carolina
180,carolina
181,carolina
182,peyton
183,peyton
184,peyton
185,peyton
186,peyton
187,peyton
188,peyton
189,peyton
190,peyton
191,this
192,this
193,this
194,this
195,this
196,with
197,with
198,with
199,with
200,with
201,with
202,with
203,concerns
204,concerns
205,concerns
206,concerns
207,concerns
208,concerns
209,concerns
210,concerns
211,concerns
212,as
213,as
214,as
215,as
216,as
217,as
218,as
219,as
220,as
221,as
222,the
223,the
224,the
225,the
226,the
227,the
228,the
229,the
230,the
231,the
232,on
233,on
234,on
235,on
236,on
237,on
238,on
239,on
240,on
241,various
242,various
243,various
244,various
245,various
246,sanfrancisco.
247,the
248,the
249,the
250,the
251,in
252,in
253,in
254,in
255,in
256,in
257,in
258,in
259,the
260,the
261,the
262,sanjose.
263,goldengatebridge.
264,thegamesmediadaywhichwastypicallyheldonthetuesdayafternoonpriortothegamewasmovedtothemondayeveninghenrybrandedassuperbowlopeningnight.
265,the
266,thegamesmediadaywhichwastypicallyheldonthetuesdayafternoonpriortothegamewasmovedtothemondayeveninghenrybrandedassuperbowlopeningnight.
267,sanjose.
268,sanjose.
